      0000121000   45920   5.7  Jack (1996)
      0000011111     418   6.7  Jack (2004) (TV)
      0000012201      92   6.9  Jack (2013) (TV)
      0000013210     348   7.2  Jack (2014/I)
      0000021101     337   6.4  Jack Be Nimble (1993)
      0000001212    1332   7.7  Jack Black: Spider-Man (2002) (TV)
      0000122100    5136   6.0  Jack Brooks: Monster Slayer (2007)
      1001120001     181   5.3  Jack Brown Genius (1996)
      1011110000    1046   4.3  Jack Falls (2011)
      0000112101     250   6.7  Jack Frost (1934)
      0000012101    1705   7.2  Jack Frost (1979) (TV)
      1011110000    5567   4.5  Jack Frost (1997) (V)
      0001211000   24104   5.2  Jack Frost (1998)
      2111000001    2089   3.7  Jack Frost 2: Revenge of the Mutant Killer Snowman (2000) (V)
      0000132000     518   5.7  Jack Frusciante è uscito dal gruppo (1996)
      0000122100    6926   6.4  Jack Goes Boating (2010)
      0000012101    1285   6.7  Jack Irish: Bad Debts (2012) (TV)
      0000012101     902   6.7  Jack Irish: Black Tide (2012) (TV)
      0000012100     635   6.7  Jack Irish: Dead Point (2014) (TV)
      0001211000     189   5.3  Jack London (1943)
"      0002220000      73   5.3  Jack McCall, Desperado (1953)"
      3110000000     182   2.7  Jack O'Lantern (2004)
      0000001223    4815   8.1  Mother India (1957)
      0000122100     226   6.4  Mother Is a Freshman (1949)
      0000011101     366   6.6  Mother Knows Best (1997) (TV)
      0000121001     828   6.3  Mother Lode (1982)
      0001211000      90   5.6  Mother Machree (1928)
      0000012211    4167   7.2  Mother Night (1996)
      0000122101     184   6.7  Mother Teresa: In the Name of God's Poor (1997)
      00011100.1      51   5.2  Mother of All Lies (2015) (TV)
      0000012100     741   6.3  Mother of George (2013)
      0001221000    2375   5.4  Mother's Boys (1994)
      0001111001    3253   5.4  Mother's Day (1980)
      0000002003      61   7.2  Mother's Day (1989) (TV)
      0000122100   12512   6.3  Mother's Day (2010/I)
      1000111001    2190   5.4  Mother's Day (2016)
      2011000001     147   3.3  Mother's Day Massacre (2007)
      0000002103     100   7.2  Mother's Day on Waltons Mountain (1982) (TV)
      1001110001     129   4.8  Mother's Milk (2013)
      1011111002      29   5.8  Mother's Wishes (1973)
