imdb_id,title,rating,directors,writers,actors,budget,gross,financial score,score
tt1678051,Soldiers of Fortune,4.2,['Maxim Korostyshevsky'],"['Robert Crombie', 'Alexandre Coscas', 'and 1 more credit']","['Christian Slater', 'Sean Bean', 'Ving Rhames', 'Dominic Monaghan', 'Colm Meaney', 'Oksana Korostyshevskaya', 'Charlie Bewley', 'Ryan Donowho', 'Freddy Rodrguez', 'James Cromwell', 'Gennadi Vengerov', 'Sarah Ann Schultz', 'Shawn Parsons', 'Martina Jagodkina', 'Romuald Makarenko']","$8,000,000 ","$38,842 ",2.90 ,3.55 
tt1659343,Universal Soldier: Day of Reckoning,5.4,['John Hyams'],"['John Hyams', 'Doug Magnuson']","['Jean-Claude Van Damme', 'Scott Adkins', 'Dolph Lundgren', 'Kristopher Van Varenberg', 'James Rawlings', 'Mariah Bonner', 'Sigal Diamant', 'Andrei Arlovski', 'Audrey P. Scott', 'Roy Jones Jr.', 'David Jensen', 'Rus Blackwell', 'James DuMont', 'Austin Naulty', 'Dennis Keiffer']","$11,500,000 ","$5,247 ",1.72 ,3.56 
tt0129136,Hell's Kitchen,4.8,['Tony Cinciripini'],['Tony Cinciripini'],"['Rosanna Arquette', 'William Forsythe', 'Angelina Jolie', 'Mekhi Phifer', 'Johnny Whitworth', 'Stephen Payne', 'Jade Yorker', 'Michael Nicolosi', 'Ryan Slater', 'Sharif Rashed', 'Martin Shakar', 'Ricky Tyberg', 'Al Cayne', 'Stephon Fuller', 'Dan Musico']","$6,000,000 ","$9,122 ",2.32 ,3.56 
tt0955411,The Ten Commandments,2.8,"['Bill Boyce', 'John Stronach']",['Ed Naha'],"['Ben Kingsley', 'Christian Slater', 'Alfred Molina', 'Elliott Gould', 'Scott McNeil', 'Christopher Gaze', 'Kathleen Barr', 'Lee Tockar', 'Matt Hill', 'Kitanou St. Germain', 'Trevor Devall', 'Jane Mortifee', 'Brian Dobson', 'Garry Chalk', 'Nico Ghisi']","$10,000,000 ","$938,232 ",4.38 ,3.59 
tt0369226,Alone in the Dark,2.3,['Uwe Boll'],"['Elan Mastai', 'Michael Roesch', 'and 1 more credit']","['Christian Slater', 'Tara Reid', 'Stephen Dorff', 'Frank C. Turner', 'Matthew Walker', 'Will Sanderson', 'Mark Acheson', 'Darren Shahlavi', 'Karin Konoval', 'Craig Bruhnanski', 'Kwesi Ameyaw', 'Dustyn Arthurs', 'Catherine Lough Haggquist', 'Ed Anders', 'Brad Turner']","$20,000,000 ","$5,132,655 ",4.89 ,3.59 
tt0383222,BloodRayne,2.8,['Uwe Boll'],['Guinevere Turner'],"['Kristanna Loken', 'Michael Madsen', 'Matthew Davis', 'Will Sanderson', 'Geraldine Chaplin', 'Udo Kier', 'Meat Loaf', 'Michael Par', 'Billy Zane', 'Michelle Rodriguez', 'Ben Kingsley', 'Darren Shahlavi', 'Esteban Cueto', 'Madalina Constantin', 'Daniela Nane']","$25,000,000 ","$2,405,420 ",4.40 ,3.60 
tt0762105,I Hate Valentine's Day,4.5,['Nia Vardalos'],"['Nia Vardalos', 'Nia Vardalos']","['Nia Vardalos', 'John Corbett', 'Stephen Guarino', 'Amir Arison', 'Zoe Kazan', 'Gary Wilmes', 'Mike Starr', 'Jason Mantzoukas', 'Judah Friedlander', 'Rachel Dratch', 'Jay O. Sanders', 'Lynda Gravatt', 'Olive', 'Suzanne Shepherd', 'Dan Finnerty']","$3,000,000 ","$10,060 ",2.72 ,3.61 
tt0091934,Shanghai Surprise,2.7,['Jim Goddard'],"['John Kohn', 'Robert Bentley', 'and 1 more credit']","['Sean Penn', 'Madonna', 'Paul Freeman', 'Richard Griffiths', 'Philip Sayer', 'Clyde Kusatsu', 'Kay Tong Lim', 'Sonserai Lee', 'Victor Wong', 'Professor Toru Tanaka', 'Michael Aldridge', 'Sarah Lam', 'George She', 'Won Gam Bor', 'To Chee Kan']","$17,000,000 ","$2,209,013 ",4.55 ,3.62 
tt0084132,Inchon,3,['Terence Young'],"['Robin Moore', 'Laird Koenig']","['Laurence Olivier', 'Jacqueline Bisset', 'Ben Gazzara', 'Toshir Mifune', 'Richard Roundtree', 'David Janssen', 'Kung-won Nam', 'Gabriele Ferzetti', 'Rex Reed', 'Sabine Sun', 'Dorothy James', 'Karen Kahn', 'Lydia Lei', 'James T. Callahan', 'Rion Morgan']","$46,000,000 ","$4,408,636 ",4.39 ,3.70 
tt0092795,Creepozoids,2.8,['David DeCoteau'],"['Buford Hauser', 'David DeCoteau']","['Linnea Quigley', 'Ken Abraham', 'Michael Aranda', 'Richard L. Hawkins', 'Ashlyn Gere', 'Joi Wilson']","$75,000 ","$13,133 ",4.69 ,3.75 
tt0322700,I Love Your Work,5.2,['Adam Goldberg'],"['Adam Goldberg', 'Adrian Butchart']","['Marisa Coughlan', 'Judy Greer', 'Shalom Harlow', 'Jared Harris', 'Joshua Jackson', 'Nicky Katt', 'Jason Lee', 'Franka Potente', 'Giovanni Ribisi', 'Christina Ricci', 'Vince Vaughn', 'Elvis Costello', 'Eric Siegel', 'John Tottenham', 'Dan Bucatinsky']","$1,650,000 ","$2,580 ",2.34 ,3.77 
tt0110978,The Return of the Texas Chainsaw Massacre,2.9,['Kim Henkel'],"['Kim Henkel', 'Tobe Hooper', 'and 1 more credit']","['Rene Zellweger', 'Matthew McConaughey', 'Robert Jacks', 'Tonie Perensky', 'Joe Stevens', 'Lisa Marie Newmyer', 'John Harrison', 'Tyler Cone', 'James Gale', 'Chris Kilgore', 'Vince Brock', 'Susan Loughran', 'David Laurence', 'Grayson Victor Schirmacher', 'Jeanette Wiggins']","$600,000 ","$94,558 ",4.64 ,3.77 
tt1535612,The Son of No One,5.1,['Dito Montiel'],['Dito Montiel'],"['Al Pacino', 'Channing Tatum', 'James Ransone', 'Ray Liotta', 'Katie Holmes', 'Ursula Parker', 'Brian Gilbert', 'Tracy Morgan', 'Jake Cherry', 'Simone Joy Jones', 'Juliette Binoche', 'Lemon Andersen', 'Roger Guenveur Smith', 'Michael Rivera', 'Sean Cregan']","$15,000,000 ","$28,870 ",2.44 ,3.77 
tt0473024,Crossover,1.9,['Preston A. Whitmore II'],['Preston A. Whitmore II'],"['Anthony Mackie', 'Wesley Jonathan', 'Eva Marcille', 'Wayne Brady', 'Little JJ', 'Philip Champion', 'Alecia Jai Fears', 'Kristen Wilson', 'William L. Johnson', 'Tamer Alwerfalli', 'Ele Bardha', 'Gavin J. Behrman', 'Shelli Boone', 'Linda Boston', 'Marvin Collins']","$5,600,000 ","$7,009,668 ",5.68 ,3.79 
tt0185183,Battlefield Earth,2.4,['Roger Christian'],"['Corey Mandell', 'J.D. Shapiro', 'and 1 more credit']","['John Travolta', 'Barry Pepper', 'Forest Whitaker', 'Kim Coates', 'Sabine Karsenti', 'Michael Byrne', 'Christian Tessier', 'Sylvain Landry', 'Richard Tyson', 'Christopher Freeman', 'John Topor', 'Shaun Austin-Olsen', 'Tim Post', 'Earl Pastko', 'Michel Perron']","$44,000,000 ","$21,471,685 ",5.21 ,3.80 
tt0976247,"Surfer, Dude",4.6,['S.R. Bindler'],"['S.R. Bindler', 'Mark Gustawes']","['Matthew McConaughey', 'Alexie Gilmore', 'Jeffrey Nordling', 'Woody Harrelson', 'Zachary Knighton', 'Todd Stashwick', 'Nathan Phillips', 'Ramon Rodriguez', 'Scott Glenn', 'John Terry', 'Sarah Wright', 'K.D. Aubert', 'Willie Nelson', 'Johnny Sneed', 'Nancy Fish']","$6,000,000 ","$36,497 ",3.02 ,3.81 
tt1486193,5 Days of War,5.6,['Renny Harlin'],"['Mikko Alanne', 'David Battle']","['Rupert Friend', 'Emmanuelle Chriqui', 'Richard Coyle', 'Heather Graham', 'Johnathon Schaech', 'Rade Serbedzija', 'Andy Garcia', 'Val Kilmer', 'Mikko Nousiainen', 'Mikheil Gomiashvili', 'Ana Imnadze', 'Antje Traue', 'Kenneth Cranham', 'Dean Cain', 'Sergo Shvedkov']","$20,000,000 ","$17,149 ",2.04 ,3.82 
tt1541160,Flypaper,6.3,['Rob Minkoff'],"['Jon Lucas', 'Scott Moore']","['Patrick Dempsey', 'Ashley Judd', 'Tim Blake Nelson', 'Mekhi Phifer', 'Matt Ryan', 'Jeffrey Tambor', 'John Ventimiglia', 'Pruitt Taylor Vince', 'Curtis Armstrong', 'Rob Huebel', 'Adrian Martinez', 'Natalia Safran', 'Octavia Spencer', 'Eddie Matthews', 'Rob Boltin']","$5,000,000 ","$1,098 ",1.36 ,3.83 
tt0106792,Ed and His Dead Mother,5.9,['Jonathan Wacks'],['Chuck Hughes'],"['Eric Christmas', 'Steve Buscemi', 'Harper Roisman', 'Sam Jenkins', 'Ned Beatty', 'Gary Farmer', 'Robert Harvey', 'John Glover', 'Miriam Margolyes', 'Jon Gries', 'Dawn Hudson', 'Eric Poppick', 'Rance Howard', 'Warren Munson', 'Carol Schlanger']","$1,800,000 ",$889 ,1.76 ,3.83 
tt0290747,Man-Thing,4.1,['Brett Leonard'],"['Steve Gerber', 'Hans Rodionoff']","['Matthew Le Nevez', 'Rachael Taylor', 'Jack Thompson', 'Rawiri Paratene', ""Alex O'Loughlin"", 'Steve Bastoni', 'Robert Mammone', 'Patrick Thompson', 'William Zappa', 'John Batchelor', 'Ian Bliss', 'Brett Leonard', 'Imogen Bailey', 'James Coyne', 'Cheryl Craig']","$7,500,000 ","$143,615 ",3.59 ,3.84 
tt0488604,The Oxford Murders,6.1,['lex de la Iglesia'],"['lex de la Iglesia', 'Jorge Guerricaechevarra', 'and 1 more credit']","['Elijah Wood', 'John Hurt', 'Leonor Watling', 'Julie Cox', 'Jim Carter', 'Alex Cox', 'Burn Gorman', 'Dominique Pinon', 'Anna Massey', 'Danny Sapani', 'Alan David', 'Tim Wallers', 'James Weber Brown', 'Ian East', 'Charlotte Asprey']","$10,000,000 ","$3,607 ",1.61 ,3.85 
tt0120598,Barney's Great Adventure,2.3,['Steve Gomer'],"['Stephen White', 'Sheryl Leach']","['Alan Fawcett', 'Jane Wheeler', 'Kyla Pratt', 'Diana Rice', 'Trevor Morgan', 'David Larouche', 'Edouard Larouche', 'George Hearn', 'Shirley Douglas', 'David Joyner', 'Bob West', 'Jeff Ayers', 'Julie Johnson', 'Renee Madeline Le Guerrier', 'Rock Jutras']","$15,000,000 ","$11,144,518 ",5.42 ,3.86 
tt0317676,House of the Dead,2,['Uwe Boll'],"['Mark A. Altman', 'Dan Bates']","['Jonathan Cherry', 'Tyron Leitso', 'Clint Howard', 'Ona Grauer', 'Ellie Cornell', 'Will Sanderson', 'Enuka Okuma', 'Kira Clavell', 'Sonya Salomaa', 'Michael Eklund', 'David Palffy', 'Jrgen Prochnow', 'Steve Byers', 'Erica Durance', 'Birgit Stein']","$7,000,000 ","$10,199,354 ",5.75 ,3.88 
tt0462219,Camille,5.9,['Gregory Mackenzie'],['Nick Pustay'],"['Sienna Miller', 'James Franco', 'David Carradine', 'Scott Glenn', 'Ed Lauter', 'Mark Wilson', 'Patricia Yeatman', 'Steve Markoff', 'Tyler Hynes', 'Mimi Kuzyk', 'James B. Douglas', 'George Buza', 'Liisa Repo-Martell', 'Nicholas Kaegi', 'J. Adam Brown']","$6,000,000 ","$3,849 ",1.89 ,3.90 
tt0246894,Rollerball,2.9,['John McTiernan'],"['William Harrison', 'William Harrison']","['Chris Klein', 'Jean Reno', 'LL Cool J', 'Rebecca Romijn', 'Naveen Andrews', 'Oleg Taktarov', 'David Hemblen', 'Janet Wright', 'Andrew Bryniarski', 'Kata Dob', 'Alice Poon', 'Lucia Rijker', 'Melissa R. Stubbs', 'Paul Wu', 'Yolanda Hughes-Heying']","$70,000,000 ","$18,990,798 ",4.91 ,3.91 
tt0084316,Megaforce,2.9,['Hal Needham'],"['Bob Kachler', 'James Whittaker']","['Barry Bostwick', 'Michael Beck', 'Persis Khambatta', 'Edward Mulhare', 'George Furth', 'Henry Silva', 'Mike Kulcsar', 'Ralph Wilcox', 'Evan C. Kim', 'Anthony Pena', 'J. Vctor Lpez', 'Michael Carven', 'Bobby Bass', 'Samir Kamoun', 'Youssef Merhi']","$20,000,000 ","$5,675,599 ",4.94 ,3.92 
tt1320239,Burke and Hare,6.1,['John Landis'],"['Piers Ashworth', 'Nick Moorcroft']","['Bill Bailey', 'Tom Wilkinson', 'Michael Smiley', 'Tim Curry', 'Paul Davis', 'Christian Brassington', 'Gabrielle Downey', 'Stuart McQuarrie', 'Simon Pegg', 'Andy Serkis', 'Mike Goodenough', 'Jessica Hynes', 'Robert Fyfe', 'Robert Willox', 'David Schofield']","$10,000,000 ","$4,833 ",1.75 ,3.93 
tt0120618,Breakfast of Champions,4.4,['Alan Rudolph'],"['Kurt Vonnegut Jr.', 'Alan Rudolph']","['Bruce Willis', 'Albert Finney', 'Nick Nolte', 'Barbara Hershey', 'Glenne Headly', 'Lukas Haas', 'Omar Epps', 'Vicki Lewis', 'Buck Henry', 'Ken Hudson Campbell', 'Jake Johannsen', 'Will Patton', 'Chip Zien', 'Owen Wilson', 'Alison Eastwood']","$12,000,000 ","$175,370 ",3.45 ,3.93 
tt0088967,Crimewave,5.7,['Sam Raimi'],"['Ethan Coen', 'Joel Coen', 'and 1 more credit']","['Louise Lasser', 'Paul L. Smith', 'Brion James', 'Sheree J. Wilson', 'Edward R. Pressman', 'Bruce Campbell', 'Reed Birney', 'Richard Bright', 'Antonio Fargas', 'Hamid Dana', 'John Hardy', 'Emil Sitka', 'Hal Youngblood', 'Sean Farley', 'Richard DeManincor']","$3,000,000 ","$3,571 ",2.20 ,3.95 
tt0108187,Son of the Pink Panther,3.5,['Blake Edwards'],"['Maurice Richlin', 'Blake Edwards']","['Roberto Benigni', 'Herbert Lom', 'Claudia Cardinale', 'Shabana Azmi', 'Debrah Farentino', 'Jennifer Edwards', 'Robert Davi', 'Mark Schneider', 'Mike Starr', 'Kenny Spalding', 'Anton Rodgers', 'Burt Kwouk', 'Graham Stark', 'Oliver Cotton', 'Aharon Ipal']","$25,000,000 ","$2,457,574 ",4.41 ,3.95 
tt1411664,Bucky Larson: Born to Be a Star,3.1,['Tom Brady'],"['Adam Sandler', 'Allen Covert', 'and 1 more credit']","['Nick Swardson', 'Christina Ricci', 'Don Johnson', 'Stephen Dorff', 'Ido Mosseri', 'Kevin Nealon', 'Edward Herrmann', 'Miriam Flynn', 'Mario Joyner', 'Tyler Spindel', 'Meredith Giangrande', 'Nicholas Turturro', 'Mary Pat Gleason', 'Jackie Sandler', 'Dana Goodman']","$10,000,000 ","$2,331,318 ",4.84 ,3.97 
tt1183251,Beyond a Reasonable Doubt,5.7,['Peter Hyams'],"['Peter Hyams', 'Douglas Morrow']","['Jesse Metcalfe', 'Amber Tamblyn', 'Michael Douglas', 'Joel David Moore', 'Orlando Jones', 'Lawrence P. Beron', 'Sewell Whitney', 'David Jensen', 'Sharon K. London', 'Krystal Kofie', 'Randal Reeder', 'Ryan Glorioso', 'Jon McCarthy', 'Grant James', 'Eric Gipson']","$25,000,000 ","$32,409 ",2.24 ,3.97 
tt0373908,The Honeymooners,2.8,['John Schultz'],"['Danny Jacobson', 'David Sheffield']","['Cedric the Entertainer', 'Mike Epps', 'Gabrielle Union', 'Regina Hall', 'Eric Stoltz', 'Jon Polito', 'John Leguizamo', 'Carol Woods', 'Ajay Naidu', 'Arnell Powell', 'Leticia Castillo', 'Chuy Bravo', 'Doreen Keogh', 'Camille Donegan', 'Joanna Dickens']","$27,000,000 ","$12,834,056 ",5.19 ,4.00 
tt0101412,Beastmaster 2: Through the Portal of Time,3.4,['Sylvio Tabet'],"['Andre Norton', 'Paul Pepperman']","['James Avery', 'Michael Berryman', 'David Carrera', 'Carl Ciarfalio', 'Lawrence Dobkin', 'Steve Donmyer', 'Sarah Douglas', 'Richard L. Duran', 'James Patten Eagle', 'Robert Fieldsteel', 'John Fifer', 'Doug Franklin', 'Kyle Fredericks', 'Gordon Greene', 'Paul Goodman']","$6,000,000 ","$869,325 ",4.60 ,4.00 
tt1216492,Leap Year,6.1,['Anand Tucker'],"['Deborah Kaplan', 'Harry Elfont']","['Amy Adams', 'Matthew Goode', 'Adam Scott', 'John Lithgow', ""Noel O'Donovan"", 'Tony Rohr', 'Pat Laffan', 'Alan Devlin', 'Ian McElhinney', 'Dominique McElligott', ""Mark O'Regan"", 'Maggie McCarthy', ""Peter O'Meara"", 'Macdara  Fatharta', 'Kaitlin Olson']","$19,000,000 ","$12,561 ",1.91 ,4.00 
tt0318081,A Sound of Thunder,4.1,['Peter Hyams'],"['Ray Bradbury', 'Thomas Dean Donnelly']","['Armin Rohde', 'Heike Makatsch', 'Jemima Rooper', 'David Oyelowo', 'Wilfried Hochholdinger', 'Edward Burns', 'August Zirner', 'Ben Kingsley', 'Catherine McCormack', 'Alvin Van Der Kuech', 'Andrew Blanchard', 'William Armstrong', 'Corey Johnson', 'Nikita Lespinasse', 'Scott Bellefeville']","$52,000,000 ","$1,891,821 ",3.91 ,4.01 
tt0196106,MVP: Most Valuable Primate,3.1,['Robert Vince'],"['Anne Vince', 'Robert Vince']","['Bernie', 'Louie', 'Mac', 'Russell Ferrier', 'Lomax Study', 'Kevin Zegers', 'Jamie Rene Smith', 'Alexa Fox', 'Jane Sowerby', 'Ingrid Tesch', 'Philip Granger', 'Rick Ducommun', 'Aaron Smolinski', 'Shane Vajda', 'Trevor Roberts']","$4,500,000 ","$1,246,237 ",4.92 ,4.01 
tt0470679,August,5.3,['Austin Chick'],['Howard A. Rodman'],"['Josh Hartnett', 'Naomie Harris', 'Adam Scott', 'Robin Tunney', 'Andre Royo', 'Emmanuelle Chriqui', 'Laila Robins', 'Caroline Lagerfelt', 'Alan Cox', 'David Bowie', 'Rip Torn', 'Jeremy Bobb', 'Jason Calacanis', 'Joie Chen', 'Athena Currey']","$3,400,000 ","$11,762 ",2.74 ,4.02 
tt0880648,Shuttle,5.6,['Edward Anderson'],['Edward Anderson'],"['Tony Curran', 'Peyton List', 'Cameron Goodman', 'Cullen Douglas', 'Dave Power', 'James Snyder', 'Tom Kemp', 'Kaylan Tracey', 'Jen Alison Lewis', 'James Ryen', 'Jackie Cowls', 'Roy Souza']","$5,400,000 ","$10,625 ",2.45 ,4.03 
tt0242508,Harvard Man,4.8,['James Toback'],['James Toback'],"['Adrian Grenier', 'Sarah Michelle Gellar', 'Joey Lauren Adams', 'Eric Stoltz', 'Rebecca Gayheart', 'Gianni Russo', 'Ray Allen', 'Michael Aparo', 'Scottie Epstein', 'John Neville', 'Polly Shannon', 'Phillip Jarrett', 'Adam Bloch', 'Lauren Collis', 'Landy Cannon']","$5,500,000 ","$56,653 ",3.28 ,4.04 
